"code","iso","country","FORCH.2012"
4,"AFG","Afghanistan",-0.7
8,"ALB","Albania",-3.6
12,"DZA","Algeria",-2.4
16,"ASM","American Samoa",NA
20,"AND","Andorra",NA
24,"AGO","Angola",-2.4
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",NA
32,"ARG","Argentina",-9
51,"ARM","Armenia",-0.2
533,"ABW","Aruba",NA
36,"AUS","Australia",0.4
40,"AUT","Austria",-3.2
31,"AZE","Azerbaijan",-0.4
44,"BHS","Bahamas",-3
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",-2.8
52,"BRB","Barbados",NA
112,"BLR","Belarus",-0.3
56,"BEL","Belgium",-2.7
84,"BLZ","Belize",-6.3
204,"BEN","Benin",2.2
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",-0.4
68,"BOL","Bolivia",-4.6
70,"BIH","Bosnia and Herzegovina",0.5
72,"BWA","Botswana",7.7
76,"BRA","Brazil",-4.8
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",-1.5
100,"BGR","Bulgaria",-0.0999999999999999
854,"BFA","Burkina Faso",0
108,"BDI","Burundi",-2.8
116,"KHM","Cambodia",-13.7
120,"CMR","Cameroon",-1.1
124,"CAN","Canada",-3.7
132,"CPV","Cape Verde",51.4
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",-1.1
148,"TCD","Chad",-12.5
152,"CHL","Chile",1.7
156,"CHN","China",-2.5
170,"COL","Colombia",-2.4
174,"COM","Comoros",-0.3
178,"COG","Congo",-0.9
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",-3.2
384,"CIV","Cote d'Ivoire",-9.2
191,"HRV","Croatia",-0.4
192,"CUB","Cuba",2.1
196,"CYP","Cyprus",-1.6
203,"CZE","Czech Republic",-1
180,"COD","Dem. Rep. Congo",-2.4
208,"DNK","Denmark",-3.4
262,"DJI","Djibouti",0
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",-6
218,"ECU","Ecuador",-2.2
818,"EGY","Egypt",29.4
222,"SLV","El Salvador",-5
226,"GNQ","Equatorial Guinea",-1.4
232,"ERI","Eritrea",0
233,"EST","Estonia",-5.2
231,"ETH","Ethiopia",-1.6
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",0
242,"FJI","Fiji",-0.5
246,"FIN","Finland",-4.6
250,"FRA","France",-1.4
254,"GUF","French Guiana",-0.4
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",-0.5
270,"GMB","Gambia",0
268,"GEO","Georgia",-0.1
276,"DEU","Germany",-1.9
288,"GHA","Ghana",-4.8
292,"GIB","Gibraltar",NA
300,"GRC","Greece",-2.8
304,"GRL","Greenland",NA
308,"GRD","Grenada",NA
312,"GLP","Guadeloupe",-0.6
316,"GUM","Guam",NA
320,"GTM","Guatemala",-10.6
324,"GIN","Guinea",-3.6
624,"GNB","Guinea-Bissau",-4.2
328,"GUY","Guyana",-0.4
332,"HTI","Haiti",-2.7
336,"VAT","Holy See",NA
340,"HND","Honduras",-5.9
