code,iso,country,FSOC.1950,FSOC.1951,FSOC.1952,FSOC.1953,FSOC.1954,FSOC.1955,FSOC.1956,FSOC.1957,FSOC.1958,FSOC.1959,FSOC.1960,FSOC.1961,FSOC.1962,FSOC.1963,FSOC.1964,FSOC.1965,FSOC.1966,FSOC.1967,FSOC.1968,FSOC.1969,FSOC.1970,FSOC.1971,FSOC.1972,FSOC.1973,FSOC.1974,FSOC.1975,FSOC.1976,FSOC.1977,FSOC.1978,FSOC.1979,FSOC.1980,FSOC.1981,FSOC.1982,FSOC.1983,FSOC.1984,FSOC.1985,FSOC.1986,FSOC.1987,FSOC.1988,FSOC.1989,FSOC.1990,FSOC.1991,FSOC.1992,FSOC.1993,FSOC.1994,FSOC.1995,FSOC.1996,FSOC.1997,FSOC.1998,FSOC.1999,FSOC.2000,FSOC.2001,FSOC.2002,FSOC.2003,FSOC.2004,FSOC.2005,FSOC.2006,FSOC.2007,FSOC.2008,FSOC.2009,FSOC.2010,FSOC.2011
4,AFG,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0.043478261,0,0.014285714,0.014084507,0.050632911,0.050632911,0.05952381,0.142857143,0.141414141,0.132653061,0.145631068,0.134615385,0.137254902,0.13592233,0.140186916,0.136363636,0.14159292,0.130841121,0.133928571,0.119266055,0.118181818,0.116071429,0.117647059,0.138211382,0.116666667,0.139534884,0.163265306,0.161073826,0.168831169,0.157894737,0.148648649,0.153333333,0.156862745,0.156862745,0.156862745,0.150326797,0.138888889,0.146666667,0.14,0.132450331,0.13125,0.140243902,0.153846154,0.127272727,0.164021164,0.18,0.175,0.176470588,0.174757282
16,ASM,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051282051,0.025641026,0.069767442,0.069767442,0.068181818,0.088888889,0.066666667,0.066666667,0.083333333,0.083333333,0.063829787,0.142857143,0.131147541,0.111111111,0.139534884,0.145454545,0.127272727,0.169230769,0.164179104,0.157142857,0.164179104,0.161764706,0.140625,0.158730159,0.164383562,0.170454545,0.16091954,0.172413793,0.177777778,0.154761905,0.174418605,0.170731707,0.176470588,0.180851064,0.183908046,0.186046512,0.181818182,0.162790698,0.16091954,0.166666667,0.16091954,0.164383562,0.152777778,0.171052632,0.14084507,0.157894737
20,AND,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,AGO,Angola,0,0,0,0.019607843,0.039215686,0.068965517,0.052631579,0.063492063,0.0625,0.058823529,0.073529412,0.070422535,0.072289157,0.069767442,0.057471264,0.071428571,0.06122449,0.085714286,0.079646018,0.100840336,0.107142857,0.110091743,0.097345133,0.110169492,0.12195122,0.133333333,0.125874126,0.125,0.125786164,0.147540984,0.160621762,0.158469945,0.162561576,0.165938865,0.165938865,0.170040486,0.164319249,0.162995595,0.16988417,0.180147059,0.176470588,0.178571429,0.174311927,0.168949772,0.169565217,0.173333333,0.170212766,0.167400881,0.170940171,0.171314741,0.174418605,0.156716418,0.15503876,0.148854962,0.150943396,0.149377593,0.154135338,0.160337553,0.1886121,0.168539326,0.160305344,0.162878788
660,AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,ARG,Argentina,0,0,0,0,0.019607843,0.02,0.018867925,0.018867925,0.017857143,0.017241379,0.045454545,0.057971014,0.067567568,0.054054054,0.057471264,0.068181818,0.064516129,0.086956522,0.088495575,0.1,0.125925926,0.123188406,0.13986014,0.121212121,0.139072848,0.136054422,0.145695364,0.125,0.133333333,0.135294118,0.149700599,0.14619883,0.141242938,0.143678161,0.145348837,0.13559322,0.144385027,0.137566138,0.136125654,0.12755102,0.148837209,0.148837209,0.15,0.142222222,0.135135135,0.144680851,0.150793651,0.154150198,0.158301158,0.149019608,0.169611307,0.163120567,0.175257732,0.157706093,0.166666667,0.16838488,0.152249135,0.15916955,0.151202749,0.160130719,0.159468439,0.164516129
51,ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
